country,continent,mean_temp,mean_precip,mean_pm25,n
Congo,Africa,26.274332909783993,0.1277636594663278,25.291867852120113,787
Costa Rica,North America,19.17992327365729,0.10333759590792839,10.620070333456445,782
Cote d'Ivoire,Africa,22.836890243902438,0.03981707317073171,8.776265243902438,328
Croatia,Europe,14.314993646759847,0.09870393900889454,21.945984752223637,787
Cuba,North America,22.810432569974555,0.03194656488549618,9.821647583425197,786
Cyprus,Europe,24.269746835443037,0.02751898734177215,13.43571519035629,790
Czech Republic,Europe,11.278680203045687,0.07067258883248731,17.0657296955525,788
Democratic Republic of Congo,Other,26.144218551461247,0.12409148665819568,25.320590850849467,787
Denmark,Europe,11.01761723700887,0.08372623574144487,10.450228137063435,789
Djibouti,Africa,31.415374841168997,0.023087674714104195,27.757541295576278,787
Dominica,North America,26.521628498727736,0.12597964376590332,10.848594148553358,786
Dominican Republic,North America,23.97547649301144,0.1270012706480305,13.054275730622617,787
Ecuador,South America,10.429936305732484,0.08422929936305733,10.33341401286034,785
Egypt,Africa,25.303299492385786,0.0005710659898477158,33.29520304568528,788
El Salvador,North America,23.490038314176246,0.2380204342273308,20.708984674573095,783
Equatorial Guinea,Africa,26.818836915297094,0.34548672566371685,12.033982301126088,791
Eritrea,Africa,21.211378002528445,0.09230088495575221,19.231946902172606,791
Estonia,Europe,9.35736040609137,0.09209390862944164,8.173058376118616,788
Ethiopia,Africa,19.432192648922687,0.21799746514575413,26.047224333875533,789
Fiji Islands,Oceania,24.77278481012658,0.35236708860759497,5.780607595298864,790
Finland,Europe,9.082405063291139,0.08059493670886077,7.1167974678715575,790
France,Europe,13.486438529784536,0.09461343472750318,17.6086945490964,789
Gabon,Africa,26.537135614702155,0.18974651457541192,14.100380227653396,789
Gambia,Africa,24.75814249363868,0.12087786259541985,32.01731552356982,786
Georgia,Asia,17.3574332909784,0.052986022871664554,13.77091486667284,787
Germany,Europe,12.08,0.06767088607594937,14.953575948884215,790
Ghana,Africa,27.156510745891275,0.08697850821744627,16.511099873577752,791
Greece,Europe,21.94554707379135,0.039363867684478374,17.481081425421717,786
Grenada,North America,27.07908163265306,0.1483545918367347,12.003528061711057,784
Guatemala,North America,17.354150702426562,0.0907662835249042,30.66978288584742,783
Guinea,Africa,26.056527249683143,0.3859695817490494,25.371774397488633,789
Guinea-Bissau,Africa,25.29429657794677,0.2753105196451204,33.84293409185567,789
Guyana,South America,24.611450381679386,0.454147582697201,10.581361323155217,786
Haiti,North America,21.32579415501906,0.02257941550190597,33.46047014558785,787
Honduras,North America,19.465605095541402,0.06947770700636943,11.566140126659612,785
Hungary,Europe,13.831642778390297,0.05267916207276736,17.826951488318226,907
Iceland,Europe,5.714720812182741,0.16972081218274113,3.799630710720411,788
India,Asia,30.417893401015228,0.05738578680203046,109.25385152477902,788
Indonesia,Asia,28.476169405815426,0.4550758533501896,79.9534450081296,1582
Iran,Asia,19.751074918566776,0.029413680781758957,37.49919153193868,1535
Iraq,Asia,29.02212389380531,0.017673830594184578,35.49247155113558,791
Ireland,Europe,10.975095298602287,0.13416772554002543,9.14285895782626,787
Israel,Asia,23.096070975918884,0.012750316856780736,20.043719898847574,789
Italy,Europe,18.59886075949367,0.07640506329113923,16.386177215189875,790
Jamaica,North America,26.868106734434562,0.15476493011435832,12.372757307680317,787
Japan,Asia,20.135018963337547,0.13289506953223768,39.39667509578121,791
