country,mean_temp,n
Pakistan,28.788324873096446,788
Seychelles Islands,28.826810673443457,787
Tuvalu,28.83898734177215,790
Niger,28.968860759493673,790
Iraq,29.02212389380531,791
Chad,29.223640960809103,791
Brunei Darussalam,29.64238578680203,788
Bahrain,29.80759493670886,790
Sudan,29.953460317460316,1575
Singapore,30.003037974683547,790
Sri Lanka,30.248481012658228,790
India,30.417893401015228,788
Philippines,30.517617237008874,789
Malaysia,30.666032953105198,789
Saudi Arabia,30.835107731305452,789
Myanmar,30.844430379746832,790
Kuwait,31.10747782002535,789
Thailand,31.247084917617236,1578
Bangladesh,31.249049429657795,789
Djibouti,31.415374841168997,787
Oman,31.89113924050633,790
Cambodia,32.042585551330795,789
United Arab Emirates,32.35620253164557,790
Qatar,32.56535532994924,788
