country,location_name,n_obs,first_obs,last_obs
Letonia,Riga,1,2024-07-13 16:00:00,2024-07-13 16:00:00
Polônia,Moldova,1,2024-07-13 15:00:00,2024-07-13 15:00:00
Philippines,Kiyabo,1,2024-07-13 21:00:00,2024-07-13 21:00:00
Mexique,Mexico (Grupo Mexico),1,2024-07-13 06:00:00,2024-07-13 06:00:00
Marrocos,Morocco City,1,2024-07-13 14:00:00,2024-07-13 14:00:00
Malásia,Ivory Ivory Ban,1,2024-07-13 21:00:00,2024-07-13 21:00:00
Estonie,Tallinn,1,2024-07-13 16:00:00,2024-07-13 16:00:00
China,Beijing Shi,1,2024-07-13 21:00:00,2024-07-13 21:00:00
Saint-Vincent-et-les-Grenadines,Kingstown,1,2024-07-13 09:00:00,2024-07-13 09:00:00
Russia,Saint Petersburg,1,2024-06-25 16:15:00,2024-06-25 16:15:00
Saudi Arabien,Ar Riyadh,1,2024-07-13 16:00:00,2024-07-13 16:00:00
San Marino,City Of San Marino,1,2024-07-13 15:00:00,2024-07-13 15:00:00
Südkorea,Seoul,1,2024-07-13 22:00:00,2024-07-13 22:00:00
Bélgica,Bern,1,2024-07-13 15:00:00,2024-07-13 15:00:00
Turkménistan,Krasnyy Turkmenistan,1,2024-07-13 18:00:00,2024-07-13 18:00:00
USA United States of America,Palau,1,2024-06-25 22:15:00,2024-06-25 22:15:00
USA United States of America,Moroni,1,2024-06-25 07:15:00,2024-06-25 07:15:00
USA United States of America,Grenada,1,2024-06-25 08:15:00,2024-06-25 08:15:00
Гватемала,New Guatemala,1,2024-07-13 07:00:00,2024-07-13 07:00:00
Польша,Beirut,1,2024-07-13 15:00:00,2024-07-13 15:00:00
Турция,Yaren,1,2024-07-13 16:00:00,2024-07-13 16:00:00
كولومبيا,Costa Rica,1,2024-07-13 08:00:00,2024-07-13 08:00:00
火鸡,-Kingdom,1,2024-07-13 16:00:00,2024-07-13 16:00:00
